id,name,description,asset_name,value,type,heal_amount,defense,active_armor
String,String,String,String,Integer,item or healing or weapon or armor,Integer,Integer,Boolean (false or true)
1,Wooden Cudgel,A wooden pole mainly used for practice. Good for beating people to death,Wooden_Cudgel.png,10,Weapon,0,0,FALSE
2,Iron Sword,A good iron sword. On the side| it reads �Made in China�,Iron_Sword.png,25,Weapon,0,0,FALSE
3,Skyforge Steel Sword,Forged far in the north. A unique blade from distant lands.,Skyforge_Steel_Sword.png,50,Weapon,0,0,FALSE
4,Baddassium Greatsword,A glowing sword made from some fantasy metal. You get a feeling you should dodge roll with this.,Baddassium_Greatsword.png,100,Weapon,0,0,FALSE
5,Damascus Katana,"It�s beautiful, it�s perfection. I�d trade my house for this.",Damascus_Katana.png,200,Weapon,0,0,FALSE
6,Favorite Shirt,Provides a placebo effect in DEF,Favorite_Shirt.png,15,Armor,0,5,FALSE
7,Wish Body Armor,"Terrible, but better than nothing",Wish_Body_Armor.png,25,Armor,0,10,FALSE
8,Pola Tab Chainmail,Made from hundreds of Pola Tabs. The maker died from Pola overdose,Pola_Tab_Chainmail.png,50,Armor,0,15,FALSE
9,Caped Armor,Armor of steel and leather with a fashionable cape. You feel like a hero because all heroes wear capes.,Caped_Armor.png,120,Armor,0,20,FALSE
10,Cosplay Armor,Surprisingly sturdy. Someone must have spent a fortune on this.,Cosplay_Armor.png,250,Armor,0,25,FALSE
11,Spam,"SPAM, SPAM, SPAM",SPAM.png,5,Healing,5,0,FALSE
12,Pola Soda,"The slogan says, ""Now with 50% more grapes and lean""",Pola_Soda.png,10,Healing,15,0,FALSE
13,Vegetable Soup,It's a bowl of soup. How is this so effective?,Vegetable_Soup.png,20,Healing,30,0,FALSE
14,Truffle Pie,"Arcadia's famous Truffle Pie, delicious.",Truffle_Pie.png,50,Healing,50,0,FALSE
15,Green Omelets,Made from a green egg. If only you had some ham.,Green_Omelette.png,100,Healing,40,0,FALSE
16,Baked Truffle Pie,A modified truffle pie. It makes you feel fuzzy.,,420,Healing,100,0,FALSE
17,Limon,A hybrid lemon and lime with a penchant for doing challenge runs.,Limon.png,15,Healing,10,0,FALSE
18,Rick's Key,The key to the Great Canyon.,Canyon_Key,0,Item,0,0,FALSE
19,Convient Ladder,It's very convient.,Ladder,0,Item,0,0,FALSE
20,Headlamp,Good for all spelunkers and vloggers,Headlamp.png,0,Item,0,0,FALSE
21,McGuffin Muffin,"The powers of god, in a healthy balanced breakfest.",,0,Item,0,0,FALSE
22,Truffle,"Taller than a mushroom, shorter than a stoll.",Truffle.png,5,Healing,0,0,FALSE
23,Blue Triange Bottle Cap,"Very rare, a collector might pay well for these.",,20,Item,0,0,FALSE
24,Spatula,Supposidly can flip cows.,Spatula.png,50,Item,0,0,FALSE
25,Lost Book,Someones book. You could return it� or�,,50,Item,0,0,FALSE
26,Glowing Truffle,"It doesn't really glow, its likely just the spores.",Glowing_Truffle.png,75,Item,0,0,FALSE
27,Shiny Rock,"Very shiny, might be able to scam some money out of this",,90,Item,0,0,FALSE
28,Game Cartridge,There�s a 2D Eastern Girl on the cover,,0,Item,0,0,FALSE
29,Sewer Key,Key to the sewer,Sewer_Key.png,0,Item,0,0,FALSE
30,Kitchen Key,Key to the Kitchen,Kitchen_Key.png,0,Item,0,0,FALSE
31,moblin weapon,temp,temp,0,weapon,0,0,FALSE
32,wolote weapon,temp,temp,0,weapon,0,0,FALSE
33,rick weapon,temp,temp,0,weapon,0,0,FALSE
