source_id,direction,destination_id,description,locked,locked_message,unlock_item_id
String,String,String,String,Boolean (false or true),String,Integer
Hotel,North,South_Street_NB,temp,FALSE,,
South_Street_NB,North,Center_NB,temp,FALSE,,
South_Street_NB,South,Hotel,temp,FALSE,,
South_Street_NB,East,God_NB,temp,FALSE,,
South_Street_NB,West,Fred_NB,temp,FALSE,,
Center_NB,North,North_Street_NB,temp,FALSE,,
Center_NB,South,South_Street_NB,temp,FALSE,,
Center_NB,East,Shopkeeper_NB,temp,FALSE,,
Center_NB,West,Arcadia_Cauldron_NB,temp,FALSE,,
Center_NB, Up, Fountain_NB, temp, FALSE,,
Fountain_NB, Down, Center_NB, temp, FALSE,,
North_Street_NB,North,Gate_NB,temp,FALSE,,
North_Street_NB,South,Center_NB,temp,FALSE,,
North_Street_NB,East,Robert_NB,temp,FALSE,,
North_Street_NB,West,Blacksmith_NB,temp,FALSE,,
Blacksmith_NB,East,North_Street_NB,temp,FALSE,,
Robert_NB,West,North_Street_NB,temp,FALSE,,
Arcadia_Cauldron_NB,East,Center_NB,temp,FALSE,,
Shopkeeper_NB,West,Center_NB,temp,FALSE,,
Fred_NB,East,South_Street_NB,temp,FALSE,,
God_NB,West,South_Street_NB,temp,FALSE,,
Gate_NB,North,South_CR,temp,FALSE,,
Gate_NB,South,North_Street_NB,temp,FALSE,,
South_CR,North,Center_CR,temp,FALSE,,
South_CR,South,Gate_NB,temp,FALSE,,
North_CR,South,Center_CR,temp,FALSE,,
East_CR,West,Center_CR,temp,FALSE,,
Center_CR,North,North_CR,temp,FALSE,,
Center_CR,South,South_CR,temp,FALSE,,
Center_CR,East,East_CR,temp,FALSE,,
Center_CR,West,West_CR,temp,FALSE,,
West_CR,East,Center_CR,temp,FALSE,,
West_CR,West,15_FR,temp,FALSE,,
1_FR,South,6_FR,temp,FALSE,,
1_FR,East,2_FR,temp,FALSE,,
2_FR,South,7_FR,temp,FALSE,,
2_FR,East,3_FR,temp,FALSE,,
2_FR,West,1_FR,temp,FALSE,,
3_FR,East,4_FR,temp,FALSE,,
3_FR,West,2_FR,temp,FALSE,,
4_FR,South,9_FR,temp,FALSE,,
4_FR,East,5_FR,temp,FALSE,,
4_FR,West,3_FR,temp,FALSE,,
5_FR,West,4_FR,temp,FALSE,,
6_FR,North,1_FR,temp,FALSE,,
6_FR,West,NE_FR,temp,FALSE,,
7_FR,North,2_FR,temp,FALSE,,
7_FR,South,12_FR,temp,FALSE,,
7_FR,East,8_FR,temp,FALSE,,
8_FR,East,9_FR,temp,FALSE,,
8_FR,West,7_FR,temp,FALSE,,
9_FR,North,4_FR,temp,FALSE,,
9_FR,South,14_FR,temp,FALSE,,
9_FR,East,10_FR,temp,FALSE,,
9_FR,West,8_FR,temp,FALSE,,
10_FR,South,15_FR,temp,FALSE,,
10_FR,West,9_FR,temp,FALSE,,
11_FR,South,16_FR,temp,FALSE,,
11_FR,East,12_FR,temp,FALSE,,
11_FR,West,SE_FR,temp,FALSE,,
12_FR,North,7_FR,temp,FALSE,,
12_FR,South,17_FR,temp,FALSE,,
12_FR,West,11_FR,temp,FALSE,,
13_FR,South,18_FR,temp,FALSE,,
13_FR,East,14_FR,temp,FALSE,,
14_FR,North,9_FR,temp,FALSE,,
14_FR,South,19_FR,temp,FALSE,,
14_FR,East,15_FR,temp,FALSE,,
14_FR,West,13_FR,temp,FALSE,,
15_FR,North,10_FR,temp,FALSE,,
15_FR,South,20_FR,temp,FALSE,,
15_FR,East,West_CR,temp,FALSE,,
15_FR,West,14_FR,temp,FALSE,,
16_FR,North,11_FR,temp,FALSE,,
16_FR,East,17_FR,temp,FALSE,,
17_FR,North,12_FR,temp,FALSE,,
17_FR,East,18_FR,temp,FALSE,,
17_FR,West,16_FR,temp,FALSE,,
18_FR,North,13_FR,temp,FALSE,,
18_FR,East,19_FR,temp,FALSE,,
18_FR,West,17_FR,temp,FALSE,,
19_FR,North,14_FR,temp,FALSE,,
19_FR,West,18_FR,temp,FALSE,,
20_FR,North,15_FR,temp,FALSE,,
NW_FR,East,NE_FR,temp,FALSE,,
NW_FR,West,Rick_FR,temp,FALSE,,
NE_FR,South,SE_FR,temp,FALSE,,
NE_FR,East,6_FR,temp,FALSE,,
NE_FR,West,NW_FR,temp,FALSE,,
SW_FR,East,SE_FR,temp,FALSE,,
SE_FR,North,NE_FR,temp,FALSE,,
SE_FR,East,11_FR,temp,FALSE,,
SE_FR,West,SW_FR,temp,FALSE,,
Rick_FR,East,NW_FR,temp,FALSE,,
